IID,GID,rfunc,rparams,rseed,pathfunc,pparams,rfrac,rsize,numpaths,nodesinrunion,nodeavgfreqinrunion,transitinrunion,transitavgfreqinrunion,edgesinrunion,edgeavgfreqinrunion,edgemedfreqinrunion
I_2013-10-08_96,G_2013-10-08_5,rpermute,{'rfrac': 0.35},2153035011454053517,shortestpaths,{},0.35,14,109,33,21.3333333333,30,11.3333333333,54,9.66666666667,9.0
I_2013-10-08_97,G_2013-10-08_5,rpermute,{'rfrac': 0.4},5115343784884293462,shortestpaths,{},0.4,16,143,30,29.5333333333,27,15.037037037,49,13.1836734694,12
I_2013-10-08_98,G_2013-10-08_5,rpermute,{'rfrac': 0.4},7187043411933802564,shortestpaths,{},0.4,16,139,31,28.1935483871,26,15.1538461538,49,12.9387755102,12
I_2013-10-08_99,G_2013-10-08_5,rpermute,{'rfrac': 0.4},4310748809497296124,shortestpaths,{},0.4,16,141,33,30.1212121212,29,17.724137931,54,13.962962963,13.0
I_2013-10-08_100,G_2013-10-08_5,rpermute,{'rfrac': 0.45},3466226194291928642,shortestpaths,{},0.45,18,172,36,33.2777777778,33,17.7575757576,61,14.6229508197,15
I_2013-10-08_101,G_2013-10-08_5,rpermute,{'rfrac': 0.45},-2799367431959222359,shortestpaths,{},0.45,18,171,36,32.7222222222,28,20.2142857143,60,14.5333333333,13.0
I_2013-10-08_102,G_2013-10-08_5,rpermute,{'rfrac': 0.45},-9210933148878472175,shortestpaths,{},0.45,18,172,33,34.7272727273,28,19.0714285714,54,15.5555555556,13.0
I_2013-10-08_103,G_2013-10-08_5,rpermute,{'rfrac': 0.5},-3692462507470204592,shortestpaths,{},0.5,20,211,35,43.8285714286,33,23.4545454545,57,20.2456140351,19
I_2013-10-08_104,G_2013-10-08_5,rpermute,{'rfrac': 0.5},-3167996409966169244,shortestpaths,{},0.5,20,226,38,39.4736842105,33,22.4242424242,64,17.5,17.0
I_2013-10-08_105,G_2013-10-08_5,rpermute,{'rfrac': 0.5},3803396007370596265,shortestpaths,{},0.5,20,224,36,41.3888888889,31,23.5483870968,61,18.1967213115,19
I_2013-10-08_106,G_2013-10-08_6,rpermute,{'rfrac': 0.2},-5295243580954831631,shortestpaths,{},0.204545454545,9,42,25,11.68,21,7.04761904762,36,6.11111111111,4.5
I_2013-10-08_107,G_2013-10-08_6,rpermute,{'rfrac': 0.2},-2948605678642353865,shortestpaths,{},0.204545454545,9,46,34,8.58823529412,29,5.10344827586,51,4.3137254902,2
I_2013-10-08_108,G_2013-10-08_6,rpermute,{'rfrac': 0.2},-9046148034081704166,shortestpaths,{},0.204545454545,9,50,29,10.4827586207,24,6.66666666667,44,5.27272727273,4.0
I_2013-10-08_109,G_2013-10-08_6,rpermute,{'rfrac': 0.25},588991604293220687,shortestpaths,{},0.25,11,73,24,17.5833333333,21,9.61904761905,38,8.21052631579,6.0
I_2013-10-08_110,G_2013-10-08_6,rpermute,{'rfrac': 0.25},6514361407160686205,shortestpaths,{},0.25,11,69,35,14.8,31,9.61290322581,52,7.84615384615,7.0
I_2013-10-08_111,G_2013-10-08_6,rpermute,{'rfrac': 0.25},1654726200202443076,shortestpaths,{},0.25,11,74,26,17.7692307692,22,11.0,42,8.38095238095,6.0
I_2013-10-08_112,G_2013-10-08_6,rpermute,{'rfrac': 0.3},6223019607905702237,shortestpaths,{},0.295454545455,13,92,31,20.0,28,11.0,50,9.28,7.5
I_2013-10-08_113,G_2013-10-08_6,rpermute,{'rfrac': 0.3},4933915937020233598,shortestpaths,{},0.295454545455,13,98,29,21.724137931,26,12.2307692308,46,10.3043478261,8.0
I_2013-10-08_114,G_2013-10-08_6,rpermute,{'rfrac': 0.3},-3083154313282065713,shortestpaths,{},0.295454545455,13,93,30,19.5333333333,25,10.96,50,8.6,6.5
I_2013-10-08_115,G_2013-10-08_6,rpermute,{'rfrac': 0.35},8649942862997713861,shortestpaths,{},0.340909090909,15,124,31,26.7741935484,26,15.7692307692,50,12.4,10.5
I_2013-10-08_116,G_2013-10-08_6,rpermute,{'rfrac': 0.35},-7090777892771347268,shortestpaths,{},0.340909090909,15,126,31,27.2258064516,24,17.6666666667,53,11.9622641509,11
I_2013-10-08_117,G_2013-10-08_6,rpermute,{'rfrac': 0.35},113177502020298655,shortestpaths,{},0.340909090909,15,131,37,24.7567567568,29,17.1034482759,62,11.3870967742,9.0
I_2013-10-08_118,G_2013-10-08_6,rpermute,{'rfrac': 0.4},-7535272130531527755,shortestpaths,{},0.409090909091,18,198,38,34.4736842105,33,21.1515151515,66,15.2121212121,12.5
I_2013-10-08_119,G_2013-10-08_6,rpermute,{'rfrac': 0.4},1701410379669900668,shortestpaths,{},0.409090909091,18,191,40,32.75,33,21.1515151515,71,14.1408450704,11
I_2013-10-08_120,G_2013-10-08_6,rpermute,{'rfrac': 0.4},-3730681628240074030,shortestpaths,{},0.409090909091,18,193,36,35.1666666667,30,21.8,62,15.4838709677,12.0
I_2013-10-08_121,G_2013-10-08_6,rpermute,{'rfrac': 0.45},-1818004730976631502,shortestpaths,{},0.454545454545,20,237,41,40.0487804878,34,25.9411764706,72,17.5277777778,16.5
I_2013-10-08_122,G_2013-10-08_6,rpermute,{'rfrac': 0.45},1236876697136139762,shortestpaths,{},0.454545454545,20,247,41,40.4390243902,34,26.4117647059,73,17.5068493151,14
I_2013-10-08_123,G_2013-10-08_6,rpermute,{'rfrac': 0.45},-7470184317087071245,shortestpaths,{},0.454545454545,20,239,39,40.5128205128,36,22.7777777778,68,17.6470588235,16.0
I_2013-10-08_124,G_2013-10-08_6,rpermute,{'rfrac': 0.5},8807832267579887342,shortestpaths,{},0.5,22,269,41,47.5609756098,36,28.5,67,22.2089552239,21
I_2013-10-08_125,G_2013-10-08_6,rpermute,{'rfrac': 0.5},4356630008920507938,shortestpaths,{},0.5,22,276,42,45.3333333333,36,27.2222222222,72,20.0277777778,17.0
I_2013-10-08_126,G_2013-10-08_6,rpermute,{'rfrac': 0.5},-9847687569596463,shortestpaths,{},0.5,22,283,38,50.1578947368,34,28.8823529412,68,21.2352941176,22.0
I_2013-10-08_127,G_2013-10-08_7,rpermute,{'rfrac': 0.2},-2495812775085654873,shortestpaths,{},0.2,10,52,27,12.7407407407,21,7.80952380952,46,5.52173913043,5.0
I_2013-10-08_128,G_2013-10-08_7,rpermute,{'rfrac': 0.2},-1128123911182492102,shortestpaths,{},0.2,10,57,31,12.9677419355,24,9.25,50,6.24,5.0
I_2013-10-08_129,G_2013-10-08_7,rpermute,{'rfrac': 0.2},9134762232964991884,shortestpaths,{},0.2,10,57,29,13.4482758621,21,10.0,45,6.66666666667,5
I_2013-10-08_130,G_2013-10-08_7,rpermute,{'rfrac': 0.25},-9161079115453889541,shortestpaths,{},0.26,13,94,28,19.5,23,10.1739130435,51,7.64705882353,8
I_2013-10-08_131,G_2013-10-08_7,rpermute,{'rfrac': 0.25},6901999469474878433,shortestpaths,{},0.26,13,94,36,18.7222222222,31,11.6774193548,59,8.77966101695,7
I_2013-10-08_132,G_2013-10-08_7,rpermute,{'rfrac': 0.25},5221268714307709680,shortestpaths,{},0.26,13,94,34,19.3529411765,28,12.3571428571,52,9.65384615385,6.0
I_2013-10-08_133,G_2013-10-08_7,rpermute,{'rfrac': 0.3},5335132130358323752,shortestpaths,{},0.3,15,123,34,23.9411764706,30,13.1333333333,58,10.4137931034,9.0
I_2013-10-08_134,G_2013-10-08_7,rpermute,{'rfrac': 0.3},4103256893185757867,shortestpaths,{},0.3,15,130,36,23.5555555556,32,13.375,65,9.81538461538,8
